item_id,meeting_id,item_number,item_type,application_id,applicant_name,project_title,district,address_raw,summary,outcome,motion_text,vote_result,created_at
45,16,1,Vote,DOS2023-E003,,"RiverCreek Recreation Site - Development Order (DOS2023-E003) (District 7) 12840 Corkscrew Road and 20161 Camellia Crosse Lane Applicant seeks approval of the recreational campus located on Tract ""A"". Recreational amenities include a 14,546 S.F. clubhouse",7,"12840 Corkscrew Road, Estero, FL","RiverCreek Recreation Site - Development Order (DOS2023-E003) (District 7) 12840 Corkscrew Road and 20161 Camellia Crosse Lane Applicant seeks approval of the recreational campus located on Tract ""A"". Recreational amenities include a 14,546 S.F. clubhouse. Action: Approved the Development Order with the staff conditions",Approved the Development Order with the staff conditions,,See minutes,
46,16,2,Vote,DCI2022-E005,,Woodfield Estero Planned Development - Rezoning (DCI2022-E005) (District 6) Vacant parcels at the northwest corner of US 41 and Coconut Road. Applicant seeks to rezone ±45.6 acres from Mixed Use Planned Development (MPD) to Estero Planned Development (EPD,6,US 41 / Tamiami Trail,Woodfield Estero Planned Development - Rezoning (DCI2022-E005) (District 6) Vacant parcels at the northwest corner of US 41 and Coconut Road. Applicant seeks to rezone ±45.6 acres from Mixed Use Planned Development (MPD) to Estero Planned Development (EPD. Action: Approved the motion to continue meeting not to exceed 9:30 pm to resolve this case and all further actions after that would have to continue to the next meeting,Approved the motion to continue meeting not to exceed 9:30 pm to resolve this case and all further actions after that would have to continue to the next meeting,,See minutes,
47,16,3,Unknown,DCI2022-E005,,Woodfield Estero Planned Development - Rezoning (DCI2022-E005) (District 6) Vacant parcels at the northwest corner of US 41 and Coconut Road. Applicant seeks to rezone ±45.6 acres from Mixed Use Planned Development (MPD) to Estero Planned Development (EPD,6,US 41 / Tamiami Trail,"Woodfield Estero Planned Development - Rezoning (DCI2022-E005) (District 6) Vacant parcels at the northwest corner of US 41 and Coconut Road. Applicant seeks to rezone ±45.6 acres from Mixed Use Planned Development (MPD) to Estero Planned Development (EPD. Action: Recommended approval to the Council with staff conditions and the following additional conditions: the hard scaping and lighting will be consistent throughout the community and will be defined at the time of the first Development Order, no 24-hour medical facilities use. The Village Council would recommend a minimum percentage of use during operating hours for the civic structure to be qualified as a civic structure, perimeter buffers along U.S. 41 and adjacent to the pond at the time of the first Development Order, shielding the fence in the buffer from the adjacent community, architecture review in more details at the time of Development Order, foundation plantings for the residential structures must exceed the minimum 10%, and the intersection of Coconut Road and Walden will be analyzed and the recommendation will be whatever the infrastructure that provides the highest and best capacity use for that intersection","Recommended approval to the Council with staff conditions and the following additional conditions: the hard scaping and lighting will be consistent throughout the community and will be defined at the time of the first Development Order, no 24-hour medical facilities use. The Village Council would recommend a minimum percentage of use during operating hours for the civic structure to be qualified as a civic structure, perimeter buffers along U.S. 41 and adjacent to the pond at the time of the first Development Order, shielding the fence in the buffer from the adjacent community, architecture review in more details at the time of Development Order, foundation plantings for the residential structures must exceed the minimum 10%, and the intersection of Coconut Road and Walden will be analyzed and the recommendation will be whatever the infrastructure that provides the highest and best capacity use for that intersection",,See minutes,
48,17,1,Resolution,DCI2020-E001,,The Residences at Brooks Town Center (also known as Coconut Pointe Residences at the Brooks) - Final Plan Approval (DCI2020-E001) (District 6) 9.95-acre parcel at the northwest corner of Coconut Road and Three Oaks Parkway. Request for Final Plan Approval,6,Three Oaks Parkway,The Residences at Brooks Town Center (also known as Coconut Pointe Residences at the Brooks) - Final Plan Approval (DCI2020-E001) (District 6) 9.95-acre parcel at the northwest corner of Coconut Road and Three Oaks Parkway. Request for Final Plan Approval. Action: Approved Resolution 2023,Approved Resolution 2023,,Detected,
49,17,2,Vote,,June 13,"Estero Bay Chevrolet Auto Dealership Lighting Upgrade - Deviation (LDO2023 TBD) (District 5) Continued from June 13, meeting. 10640 Chevrolet Way located south of Corkscrew Road, next to the I-75 southbound entrance ramp and north of Corkscrew Woodlands. ",5,"10640 Chevrolet Way, Estero, FL","Estero Bay Chevrolet Auto Dealership Lighting Upgrade - Deviation (LDO2023 TBD) (District 5) Continued from June 13, meeting. 10640 Chevrolet Way located south of Corkscrew Road, next to the I-75 southbound entrance ramp and north of Corkscrew Woodlands. . Action: Approved deviation from Section 5-604 E1 for 4000K lighting on the basis that it will be an improvement to the adjacent residents, and the current situation was not created by the applicant","Approved deviation from Section 5-604 E1 for 4000K lighting on the basis that it will be an improvement to the adjacent residents, and the current situation was not created by the applicant",,See minutes,
50,17,3,Vote,DOS2022-E007,,"Via Coconut - Development Order (DOS2022-E007) (District 4) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew Road and west of Via Coconut Point Road. Development Order ",4,"8990 Corkscrew Road, Estero, FL","Via Coconut - Development Order (DOS2022-E007) (District 4) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew Road and west of Via Coconut Point Road. Development Order . Action: Approved Development Order for a mixed-use project with 330 multi- family units and commercial buildings, amenities and supporting infrastructure subject to the staff stipulations, and the monument sign design is approved but the sign must meet the code standards","Approved Development Order for a mixed-use project with 330 multi- family units and commercial buildings, amenities and supporting infrastructure subject to the staff stipulations, and the monument sign design is approved but the sign must meet the code standards",,See minutes,
51,18,1,Vote,COP2023-E002,,"The Cheesecake Factory - Outdoor Consumption on Premises (COP2023-E002) (District 6) 23106 Fashion Drive, Unit 135 in Coconut Point Mall. Located in the space previously occupied by Stir Crazy. Limited Development Order LDO2022-E055 approved Cheesecake Fa",6,"23106 Fashion Drive, Estero, FL","The Cheesecake Factory - Outdoor Consumption on Premises (COP2023-E002) (District 6) 23106 Fashion Drive, Unit 135 in Coconut Point Mall. Located in the space previously occupied by Stir Crazy. Limited Development Order LDO2022-E055 approved Cheesecake Fa. Action: Approved request for alcoholic beverage service in the outdoor patio area with staff conditions",Approved request for alcoholic beverage service in the outdoor patio area with staff conditions,,See minutes,
52,18,2,Vote,DCI2023-E001,,"Genova Gate Access Modification - Zoning Amendment (DCI2023-E001) (District 4) 21530 Strada Nuova Circle, southeast corner of Corkscrew Road and Via Coconut Point Applicant seeks approval of a Zoning Amendment to eliminate a condition requiring the existi",4,"21530 Strada Nuova Circle, Estero, FL","Genova Gate Access Modification - Zoning Amendment (DCI2023-E001) (District 4) 21530 Strada Nuova Circle, southeast corner of Corkscrew Road and Via Coconut Point Applicant seeks approval of a Zoning Amendment to eliminate a condition requiring the existi. Action: Approved the installation of the remote operated gates with staff recommendations",Approved the installation of the remote operated gates with staff recommendations,,See minutes,
53,18,3,Vote,,,"Culver's Coconut Point - Development Order (DOS) (District 6) 8400 Murano Del Lago Drive, Tract 3C, Coconut Point Mixed Planned Development, vacant lot on the southeast corner of US 41 and Pelican Colony Boulevard, just north of Extra Space Storage. No ex",6,"8400 Murano Del Lago Drive, Estero, FL","Culver's Coconut Point - Development Order (DOS) (District 6) 8400 Murano Del Lago Drive, Tract 3C, Coconut Point Mixed Planned Development, vacant lot on the southeast corner of US 41 and Pelican Colony Boulevard, just north of Extra Space Storage. No ex. Action: Approved the Development Order for a4,052 square foot Fast Food","Approved the Development Order for a4,052 square foot Fast Food",,See minutes,
54,18,4,Unknown,LDO2022-E044,,"Villages of Country Creek Limited Development Order - Villages of Country Creek Pickleball Court (LDO2022-E044) (District 4) The court is located at the Clubhouse, 21180 Country Creek Drive, North of Corkscrew Road and west of Three Oaks Parkway. Request ",4,"21180 Country Creek Drive, Estero, FL","Villages of Country Creek Limited Development Order - Villages of Country Creek Pickleball Court (LDO2022-E044) (District 4) The court is located at the Clubhouse, 21180 Country Creek Drive, North of Corkscrew Road and west of Three Oaks Parkway. Request . Action: Denied the application based on the proximity of the nearest homes and also the proximity of the adjacent amenities",Denied the application based on the proximity of the nearest homes and also the proximity of the adjacent amenities,,See minutes,
55,19,1,Vote,DOS2023-E006,,"RiverCreek Phase III - Development Order (DOS2023-E006) (District 7) 12840 Corkscrew Road. Located south of Corkscrew, across from Wildblue (Lee County) and east of Wildcat Run. Applicant requests the approval to construct 200 single family homes on 56.25",7,"12840 Corkscrew Road, Estero, FL","RiverCreek Phase III - Development Order (DOS2023-E006) (District 7) 12840 Corkscrew Road. Located south of Corkscrew, across from Wildblue (Lee County) and east of Wildcat Run. Applicant requests the approval to construct 200 single family homes on 56.25. Action: Approved the Development Order for RiverCreek Phase III",Approved the Development Order for RiverCreek Phase III,,See minutes,
56,19,2,Vote,ADD2023-E003,,"Coconut Point Marketplace Signs - Administrative Zoning Amendment (ADD2023-E003) (District 6) A 10 acre-site located east of US 41, north of Sweetwater Ranch Boulevard and south of Via Rapallo Drive. This site is part of the Coconut Point DRI/MPD. Develop",6,US 41 / Tamiami Trail,"Coconut Point Marketplace Signs - Administrative Zoning Amendment (ADD2023-E003) (District 6) A 10 acre-site located east of US 41, north of Sweetwater Ranch Boulevard and south of Via Rapallo Drive. This site is part of the Coconut Point DRI/MPD. Develop. Action: Approved Administrative Zoning Amendment with staff conditions",Approved Administrative Zoning Amendment with staff conditions,,See minutes,
57,19,3,Vote,DOS2022-E016,,"Wawa Convenience Food & Beverage Store with Gas Development Order (DOS2022-E016) (District 4) 10081 Estero Town Commons Place, south of Corkscrew Road. The site was previously developed and operated as a Ruby Tuesday Restaurant. Applicant is seeking to re",4,10081 Estero Town Commons Place,"Wawa Convenience Food & Beverage Store with Gas Development Order (DOS2022-E016) (District 4) 10081 Estero Town Commons Place, south of Corkscrew Road. The site was previously developed and operated as a Ruby Tuesday Restaurant. Applicant is seeking to re. Action: Approved the application with staff conditions, a minor amendment for the height of lighting features under the gas canopy to 21.53 feet, a minor amendment for the sign setback to be 10 feet instead of 15 feet with the preference of the taller sign if Lowes's approves the sign and replacing Cypress trees on Corkscrew Road with oaks or another species approved by staff","Approved the application with staff conditions, a minor amendment for the height of lighting features under the gas canopy to 21.53 feet, a minor amendment for the sign setback to be 10 feet instead of 15 feet with the preference of the taller sign if Lowes's approves the sign and replacing Cypress trees on Corkscrew Road with oaks or another species approved by staff",,See minutes,
58,20,1,Vote,DOS2023-E007,,"Wildcat Run Clubhouse - Development Order (DOS2023-E007) (District 7) 20300 Country Club Drive located in the center of Wildcat Run Development, which is south of Corkscrew Road and immediately west of the new development, RiverCreek. Applicant is seeking",7,"20300 Country Club Drive, Estero, FL","Wildcat Run Clubhouse - Development Order (DOS2023-E007) (District 7) 20300 Country Club Drive located in the center of Wildcat Run Development, which is south of Corkscrew Road and immediately west of the new development, RiverCreek. Applicant is seeking. Action: Approved the clubhouse parking by enlarging the parking lot, adding spaces, golf cart parking, bike racks and pedestrian pathways","Approved the clubhouse parking by enlarging the parking lot, adding spaces, golf cart parking, bike racks and pedestrian pathways",,See minutes,
59,20,2,Vote,DOS2023-E005,,"Goodwill Industries - Development Order (DOS2023-E005) (District 5) ±2.69-acre vacant parcel located at the southeast corner of Corkscrew Road and Three Oaks Parkway in the Estero Town Center Commercial Planned Development (CPD), also known as Lowes Plaza",5,Corkscrew Road Widening Corridor,"Goodwill Industries - Development Order (DOS2023-E005) (District 5) ±2.69-acre vacant parcel located at the southeast corner of Corkscrew Road and Three Oaks Parkway in the Estero Town Center Commercial Planned Development (CPD), also known as Lowes Plaza. Action: Approved Development Order with staff conditions",Approved Development Order with staff conditions,,See minutes,
60,20,3,Vote,DOS2023-E004,,"Coconut Point Ford Expansion - Development Order (DOS2023-E004) (District 1) 22600 & 22604 S. Tamiami Trail, located on the west side of US 41 and south of Galloway Ford Road. Currently the property is used for Coconut Point Pre-Owned vehicle sales. Appli",1,"22604 S. Tamiami Trail, Estero, FL","Coconut Point Ford Expansion - Development Order (DOS2023-E004) (District 1) 22600 & 22604 S. Tamiami Trail, located on the west side of US 41 and south of Galloway Ford Road. Currently the property is used for Coconut Point Pre-Owned vehicle sales. Appli. Action: Approved the addition of 18 vehicle service bays, 14 parking spaces and related infrastructure with staff conditions","Approved the addition of 18 vehicle service bays, 14 parking spaces and related infrastructure with staff conditions",,See minutes,
61,20,4,Vote,DOS2022-E015,,"Abbiati Dental Office Building - Development Order (DOS2022-E015) (District 1) 22770 S. Tamiami Trail, west of US 41 and south of Fountain Lakes' entrance. The site is a1.45-acre undeveloped parcel directly south of Fountain Lakes Boulevard. Applicant see",1,"22770 S. Tamiami Trail, Estero, FL","Abbiati Dental Office Building - Development Order (DOS2022-E015) (District 1) 22770 S. Tamiami Trail, west of US 41 and south of Fountain Lakes' entrance. The site is a1.45-acre undeveloped parcel directly south of Fountain Lakes Boulevard. Applicant see. Action: Approved to continue the meeting past 9:00 pm until 9:30 pm",Approved to continue the meeting past 9:00 pm until 9:30 pm,,See minutes,
62,20,5,Vote,DOS2022-E015,,"Abbiati Dental Office Building - Development Order (DOS2022-E015) (District 1) 22770 S. Tamiami Trail, west of US 41 and south of Fountain Lakes' entrance. The site is a1.45-acre undeveloped parcel directly south of Fountain Lakes Boulevard. Applicant see",1,"22770 S. Tamiami Trail, Estero, FL","Abbiati Dental Office Building - Development Order (DOS2022-E015) (District 1) 22770 S. Tamiami Trail, west of US 41 and south of Fountain Lakes' entrance. The site is a1.45-acre undeveloped parcel directly south of Fountain Lakes Boulevard. Applicant see. Action: Approved the Development Order with staff conditions",Approved the Development Order with staff conditions,,See minutes,
63,20,6,Vote,DOS2023-E002,,Estero River Park (DOS2023-E002) (District 4) Village property located on the northeast corner of US 41 and Corkscrew Road. The Village plans to develop as a first phase ±5.8 acres providing a parking area and walking paths. No ex parte communication or c,4,Corkscrew Road Widening Corridor,Estero River Park (DOS2023-E002) (District 4) Village property located on the northeast corner of US 41 and Corkscrew Road. The Village plans to develop as a first phase ±5.8 acres providing a parking area and walking paths. No ex parte communication or c. Action: Approved the development as a first phase ±5.8 acres providing a parking area and walking paths with alternative paving for parking,Approved the development as a first phase ±5.8 acres providing a parking area and walking paths with alternative paving for parking,,See minutes,
64,21,1,Vote,DOS2023-E010,,Brooks Town Center Apartments (aka Coconut Pointe Residences) - Development Order (DOS2023-E010) (District 6) 9.95-acre parcel at the northwest corner of Coconut Road and Three Oaks Parkway. Applicant seeks to redevelop a portion of the Brooks Town Center,6,Three Oaks Parkway,Brooks Town Center Apartments (aka Coconut Pointe Residences) - Development Order (DOS2023-E010) (District 6) 9.95-acre parcel at the northwest corner of Coconut Road and Three Oaks Parkway. Applicant seeks to redevelop a portion of the Brooks Town Center. Action: MOTION FAILED,MOTION FAILED,,See minutes,
65,21,2,Vote,DOS2023-E010,,Brooks Town Center Apartments (aka Coconut Pointe Residences) - Development Order (DOS2023-E010) (District 6) 9.95-acre parcel at the northwest corner of Coconut Road and Three Oaks Parkway. Applicant seeks to redevelop a portion of the Brooks Town Center,6,Three Oaks Parkway,Brooks Town Center Apartments (aka Coconut Pointe Residences) - Development Order (DOS2023-E010) (District 6) 9.95-acre parcel at the northwest corner of Coconut Road and Three Oaks Parkway. Applicant seeks to redevelop a portion of the Brooks Town Center. Action: Approved Development Order with a stipulation that the 20 spaces immediately in front of the commercial area that are back-to-back spaces be strictly reserved for commercial and not for joint use,Approved Development Order with a stipulation that the 20 spaces immediately in front of the commercial area that are back-to-back spaces be strictly reserved for commercial and not for joint use,,See minutes,
66,22,1,Vote,DOS2020-E002,,"Hilton Garden Inn - Development Order (DOS2020-E002) (District 6) 8009 Sweetwater Ranch Boulevard, a cleared and vacant 2.16 acre parcel at the southwest corner of Via Villagio and Sweetwater Ranch Boulevard adjacent to the Estero Fire Station. Applicant ",6,"8009 Sweetwater Ranch Boulevard, Estero, FL","Hilton Garden Inn - Development Order (DOS2020-E002) (District 6) 8009 Sweetwater Ranch Boulevard, a cleared and vacant 2.16 acre parcel at the southwest corner of Via Villagio and Sweetwater Ranch Boulevard adjacent to the Estero Fire Station. Applicant . Action: Approved Development Order with staff stipulations, the addition of signs for cautioning people to watch for pedestrians, provide extra glass on the west elevation, approval of the most current plans submitted, excluding the monument sign in the Development Order","Approved Development Order with staff stipulations, the addition of signs for cautioning people to watch for pedestrians, provide extra glass on the west elevation, approval of the most current plans submitted, excluding the monument sign in the Development Order",,See minutes,
67,22,2,Ordinance,Ordinance 2023-03,,Review of Ordinance 2023-03 amending the Land Development Code to revise standards for detached residential garages,,,"Review of Ordinance 2023-03 amending the Land Development Code to revise standards for detached residential garages. Action: Recommended to Council to approve Ordinance with the following suggestions of changing the size of the accessory garage to 580 square feet instead of 500 square feet, strike the language ""may not exceed two doors and two bays"", and on page 2 number 2 change 240 square feet to 280 square feet","Recommended to Council to approve Ordinance with the following suggestions of changing the size of the accessory garage to 580 square feet instead of 500 square feet, strike the language ""may not exceed two doors and two bays"", and on page 2 number 2 change 240 square feet to 280 square feet",,See minutes,
68,22,3,Ordinance,Ordinance 2023-08,,Review of Ordinance 2023-08 amending the Land Development Code regulations for hotel parking,,,Review of Ordinance 2023-08 amending the Land Development Code regulations for hotel parking. Action: Recommended to Council to approve Ordinance,Recommended to Council to approve Ordinance,,See minutes,
69,23,1,Ordinance,,June 8,"Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Final Action A",4,"10251 Arcos Avenue, Estero, FL","Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Final Action A. Action: No formal action recorded. Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June 8, 2016, forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date. Planning Zoning and Design Board Minutes - December 12, 2023 Page 2 of 4 Applicant seeks zoning amendment for Parcel ""G"" in the Plaza Del Sol CPD to allow for a mixed-use project that includes storage, hotel, retail / restaurant / medical office, and associated infrastructur","No formal action recorded. Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June 8, 2016, forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date. Planning Zoning and Design Board Minutes - December 12, 2023 Page 2 of 4 Applicant seeks zoning amendment for Parcel ""G"" in the Plaza Del Sol CPD to allow for a mixed-use project that includes storage, hotel, retail / restaurant / medical office, and associated infrastructur",,,
70,24,1,Vote,DOS2023-E009,,"Downtown Estero Multi-Family Townhomes - Development Order, DOS2023-E009 (District 4) Multi-Family Townhomes located in the 34-acre Downtown Estero Development, east of US 41 and north of Broadway East. Final Action Agenda/Minutes are supplemented by audi",4,Broadway Avenue East UEP,"Downtown Estero Multi-Family Townhomes - Development Order, DOS2023-E009 (District 4) Multi-Family Townhomes located in the 34-acre Downtown Estero Development, east of US 41 and north of Broadway East. Final Action Agenda/Minutes are supplemented by audi. Action: Approved Development Order with condition to provide updated construction information in the Construction Activities Management Plan within 30 days of Planning Zoning and Design Board approval",Approved Development Order with condition to provide updated construction information in the Construction Activities Management Plan within 30 days of Planning Zoning and Design Board approval,,See minutes,
71,25,1,Unknown,DCI2023-E002,,"Cell Phone Tower - Bella Terra - Zoning Amendment (DCI2023-E002) (District 7) 19980 Bella Terra Boulevard, ±12.44 acres, partially cleared located on Corkscrew Road, west of Bella Terra's entrance and south of Wild Blue. Final Action Agenda/Minutes are su",7,"19980 Bella Terra Boulevard, Estero, FL","Cell Phone Tower - Bella Terra - Zoning Amendment (DCI2023-E002) (District 7) 19980 Bella Terra Boulevard, ±12.44 acres, partially cleared located on Corkscrew Road, west of Bella Terra's entrance and south of Wild Blue. Final Action Agenda/Minutes are su. Action: Recommended to Council to approve amendment to Commercial Planned Development to add the use of Wireless Communication Facility with staff conditions and an additional condition to provide an updated letter from the engineer addressing the taller tower height and the fall radius",Recommended to Council to approve amendment to Commercial Planned Development to add the use of Wireless Communication Facility with staff conditions and an additional condition to provide an updated letter from the engineer addressing the taller tower height and the fall radius,,See minutes,
72,26,1,Ordinance,DOS2023-E011,June 8,"Estero Family Health Center - Addition (DOS2023-E011) (District 3) 19701 S. Tamiami Trail, located east on US 41, north of the Vines entrance. Applicant is seeking approval of a ± 4,153 square foot addition to the north side of the existing health center,",3,"19701 S. Tamiami Trail, Estero, FL","Estero Family Health Center - Addition (DOS2023-E011) (District 3) 19701 S. Tamiami Trail, located east on US 41, north of the Vines entrance. Applicant is seeking approval of a ± 4,153 square foot addition to the north side of the existing health center,. Action: No formal action recorded. Estero Family Health Center - Addition (DOS2023-E011) (District 3) 19701 S. Tamiami Trail, located east on US 41, north of the Vines entrance. Applicant is seeking approval of a ± 4,153 square foot addition to the north side of the existing health center, with parking improvements. Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June 8, 2016, forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date. Planning Zoning and Design Board Minutes - April 9, 2024 Page 2 of 9 Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Joshua J. Jennings P.E, Weiler Engineering Corporation James J. H","No formal action recorded. Estero Family Health Center - Addition (DOS2023-E011) (District 3) 19701 S. Tamiami Trail, located east on US 41, north of the Vines entrance. Applicant is seeking approval of a ± 4,153 square foot addition to the north side of the existing health center, with parking improvements. Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June 8, 2016, forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date. Planning Zoning and Design Board Minutes - April 9, 2024 Page 2 of 9 Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Joshua J. Jennings P.E, Weiler Engineering Corporation James J. H",,,
73,27,1,Unknown,,,Selection of Vice Chairman,,,Selection of Vice Chairman. Action: Appointed Scotty Wood as Vice Chairman,Appointed Scotty Wood as Vice Chairman,,See minutes,
74,27,2,Vote,LDO2024-E008,,"Estero Shadow Wood Community Association - Coconut Road Guardhouse Remodel (LDO2024-E008) (District 6) The guardhouse is located at the entrance to Shadow Wood on Oakwilde Boulevard, north of Coconut Road, and east of Via Coconut Point. Applicant seeks to",6,Coconut Road,"Estero Shadow Wood Community Association - Coconut Road Guardhouse Remodel (LDO2024-E008) (District 6) The guardhouse is located at the entrance to Shadow Wood on Oakwilde Boulevard, north of Coconut Road, and east of Via Coconut Point. Applicant seeks to. Action: Approved the Limited Development Order with option 1 for the color scheme",Approved the Limited Development Order with option 1 for the color scheme,,See minutes,
75,27,3,Vote,LDO2024-E002,,"Wildcat Run Pickleball- Limited Development Order (LDO2024-E002) (District 7) 20300 Country Club Drive, south of Corkscrew Road and immediately west of RiverCreek. Applicant is seeking to renovate 1 of the 5 existing tennis courts into 4 new pickleball co",7,"20300 Country Club Drive, Estero, FL","Wildcat Run Pickleball- Limited Development Order (LDO2024-E002) (District 7) 20300 Country Club Drive, south of Corkscrew Road and immediately west of RiverCreek. Applicant is seeking to renovate 1 of the 5 existing tennis courts into 4 new pickleball co. Action: Approved the Limited Development Order with staff stipulations",Approved the Limited Development Order with staff stipulations,,See minutes,
76,27,4,Vote,LDO2022-E051,,The Brooks Commons Club - Pickleball Expansion (Amendment to LDO2022-E051) (District 6) The Commons Club is located at 9920 Coconut Road. The courts are west of the club along Coconut Road. Applicant is seeking to revise the original plan presented to the,6,"9920 Coconut Road, Estero, FL",The Brooks Commons Club - Pickleball Expansion (Amendment to LDO2022-E051) (District 6) The Commons Club is located at 9920 Coconut Road. The courts are west of the club along Coconut Road. Applicant is seeking to revise the original plan presented to the. Action: Approved the Limited Development Order Amendment with staff stipulations,Approved the Limited Development Order Amendment with staff stipulations,,See minutes,
77,27,5,Unknown,DCI2024-E001,,8111 Broadway East (Old Post Office) Zoning Amendment (DCI2024-E001) (District 4) The 1-acre site is located 200 feet east of US 41 on property originally developed by the U.S. Federal Government for a Post Office,4,Broadway Avenue East UEP,8111 Broadway East (Old Post Office) Zoning Amendment (DCI2024-E001) (District 4) The 1-acre site is located 200 feet east of US 41 on property originally developed by the U.S. Federal Government for a Post Office. Action: Recommended approval to Village Council with staff conditions and one additional condition that the color palette be consistent with the rendering,Recommended approval to Village Council with staff conditions and one additional condition that the color palette be consistent with the rendering,,See minutes,
78,28,1,Vote,DOS2023-E011,,"Estero Family Health Center - Addition (DOS2023-E011) (District 3) 19701 S. Tamiami Trail, located east on US 41, north of the Vines entrance. Applicant is seeking approval of a ± 4,153 square foot addition to the north side of the existing health center,",3,"19701 S. Tamiami Trail, Estero, FL","Estero Family Health Center - Addition (DOS2023-E011) (District 3) 19701 S. Tamiami Trail, located east on US 41, north of the Vines entrance. Applicant is seeking approval of a ± 4,153 square foot addition to the north side of the existing health center,. Action: Approved the Development Order with staff recommendations",Approved the Development Order with staff recommendations,,See minutes,
79,28,2,Vote,DOS2024-E004,,"The Goddard School for Early Childhood Development - Development Order (DOS2024-E004)) (District 4) 10100 Arcos Avenue, located on the east side of Three Oaks Parkway, on the corner of Quente Way and Arcos Avenue, and south of Classic Car Wash. Applicant ",4,"10100 Arcos Avenue, Estero, FL","The Goddard School for Early Childhood Development - Development Order (DOS2024-E004)) (District 4) 10100 Arcos Avenue, located on the east side of Three Oaks Parkway, on the corner of Quente Way and Arcos Avenue, and south of Classic Car Wash. Applicant . Action: Approved the Development Order with staff stipulations",Approved the Development Order with staff stipulations,,See minutes,
80,28,3,Vote,DOS2024-E003,,"Palms Day School- Development Order (DOS2024-E003) (District 4) 9600 Corkscrew Road, a vacant ± 3.5-acre site located on the southwest corner of River Ranch and Corkscrew Road - Zoned Commercial Planned Development (CPD). Applicant seeks a Development Ord",4,"9600 Corkscrew Road, Estero, FL","Palms Day School- Development Order (DOS2024-E003) (District 4) 9600 Corkscrew Road, a vacant ± 3.5-acre site located on the southwest corner of River Ranch and Corkscrew Road - Zoned Commercial Planned Development (CPD). Applicant seeks a Development Ord. Action: Approved the Development Order with staff stipulations, including the condition for the sidewalk easement, and the sign","Approved the Development Order with staff stipulations, including the condition for the sidewalk easement, and the sign",,See minutes,
81,28,4,Unknown,DCI2024-E002,,"Plaza Del Sol CPD- Zoning Amendment (DCI2024-E002) (District 4) 0251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Applicant seeks zoning amendm",4,"10251 Arcos Avenue, Estero, FL","Plaza Del Sol CPD- Zoning Amendment (DCI2024-E002) (District 4) 0251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Applicant seeks zoning amendm. Action: Recommended approval to the Village Council with staff conditions and the additional modifications to the Pattern Book and phasing conditions",Recommended approval to the Village Council with staff conditions and the additional modifications to the Pattern Book and phasing conditions,,See minutes,
