action_id,meeting_id,sequence,kind,reference_code,amount_usd,raw_text
180,55,3,Passed Ordinance,2024-06,,"Passed First Reading of Ordinance No. 2024-06 and set second reading for June 5, 2024."
181,56,0,Other,,,No action found
182,57,0,Passed Ordinance,2023-05,,Passed second reading of Ordinance No. 2023-05.
183,58,0,Adopted Ordinance,2016-05,,"Adopted Ordinance No. 2016-05, amending the Commercial Planned Development Zoning Resolution No. Z-09-037, Section 2.B, as revised by including a statement that this approval is unique to this particular petition and is not to be considered a precedent in other matters."
184,58,1,Approved Ordinance,2016-06,,Approved first reading of Ordinance No. 2016-06 and advanced to second reading and
185,58,2,Adopted Resolution,2016-10,,Adopted Resolution No. 2016-10 establishing a Village Credit Card Account with SunTrust.
186,58,3,Awarded,RFP 2016-01,,"Awarded RFP 2016-01 -Village Traffic Study to Kimley-Horn and authorized the Village Manager, with the assistance of"
187,58,4,Approved,,,"Approved the letter of support to be sent to Office of Environmental Services Division of State Lands, Department of Environmental Protection as revised with the language suggested by Mayor Batos."
188,58,5,Other,,,No one on the
189,59,0,Other,,,Meeting Cancelled
190,60,0,Approved,,,Approved the final plat.
191,61,0,Other,,,No action found
192,62,0,Other,,,No action found
193,63,0,Approved,,,Approved to permit
194,63,1,Approved Ordinance,,,Approved the first reading of the ordinance and to transmit the Comprehensive Plan Amendment request to the State reviewing agencies with
195,64,0,Approved Ordinance,2016-06,,Approved Ordinance No. 2016-06.
196,64,1,Approved Ordinance,2016-06,,Approved Ordinance No. 2016-06.
197,64,2,Approved Ordinance,2016-07,,Approved first reading of Ordinance No. 2016-07 and advanced to second reading and
198,64,3,Adopted Resolution,2016-11,,Adopted Resolution No. 2016-11.
199,64,4,Adopted Resolution,2016-12,,Adopted Resolution No. 2016-12.
200,64,5,Adopted Resolution,2016-13,,Adopted Resolution No. 2016-13.
201,65,0,Approved Resolution,,,"Approved a Joint Resolution with Lee County for participation in CDBG and related Programs, authorize Mayor to sign and forward to Lee County."
202,65,1,Approved,CN 2020-01,,"Approved t erminat ion as of June 1, 2022, CN 2020-01 Miscellaneous Professional Services to allow for the immediate use of the firms approved under CN 2022-06."
203,65,2,Approved Contract,CN 2022-06,,"Approved the recommendation of t he evaluation committee to select all 36 consulting firms that submitted Letters of Interest under CN 2022-06, for a contract period of three (3) years (with the option at"
204,65,3,Authorized,,50000.0,"Authorized the Village Manager to execute agreements for individual pr ojects as needed at or below $50,000 (contracts in excess of $50,000 will require"
205,65,4,Passed Ordinance,2022-03,,Passed Ordinance 2022-03.
206,130,0,Approved,,,Approved the final Sports Park Master Plan .
207,130,1,Approved,,,Approved m otion to accept the Standard & Poor's General Obligation Bond Rating for the Village of Estero.
208,134,0,Other,,,"Affirm ed the decision of the Planning Zoning & Design Board to issue the development order , including the conditions that have been set fo rth therein."
209,135,0,Other,,,No action found
210,66,0,Approved Task Authorization,EC 2020-42,60000.0,"Approved award of Supplemental Task Authorization (STA) - 04 Contract EC 2020-42 to Bruce Howard & Associates under the Village's Misc. Service Contract CN 2020-01 in the amount of $60,000, approve award of Supplement al Task Authorization (STA) - 03 Contract EC 2020-67 to RWA Engineering under the Village's Misc. Service Contract CN 2020 -01 in the amount of $11,700, approve a contingency fund amount of $7,200 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the Supplemental Task Authorization and any other related ancillary documents on behalf of the Village of Estero"
211,66,1,Approved Contract,RFI 2020-02,,Approved the selection of Provion Inc. as the consultant of record under Request for Information No. RFI 2020-02 Community Development Software Consultant and authorize the Village Manager to negotiate and execute a contract on behalf of the Village of Estero
212,66,2,Approved,,,Approved the
213,66,3,Other,,,A uthorize d the
214,66,4,Other,,,"P assed first reading of Ordinance 2021 -04 and set second reading for June 16, 2021."
215,66,5,Other,,,"P assed first reading of Ordinance 2021 -08 and set second reading for June 16, 2021."
216,67,0,Other,,,No action found
217,68,0,Passed Ordinance,2025-05,,"Passed first reading of Ordinance No. 2025-05 and set second reading for June 18, 2025."
218,68,1,Passed Ordinance,2025-04,,"Passed first reading of Ordinance No. 2025-04 and set second reading for July 2, 2025."
219,68,2,Passed Ordinance,2025-06,,Passed first reading of Ordinance No. 2025-06 and Set
220,68,3,Passed Ordinance,2025-08,,Passed first reading of Ordinance No. 2025-08 and Set
221,68,4,Approved,,,"Approved continuance to July 2 , 2025 for Condition 10 only."
222,69,0,Approved,RFP 2024-04,,Approved the ranking of construction management firms for RFP 2024-04 as 1- Wright Construction and a uthorize
223,69,1,Approved,RFP 2024-02,,"Approved the ranking of construction management firms for RFP 2024-02 as recommended by the Village of Estero's selection committee. 1-Manhattan Construction, 2- Wright Construction, 3- Chris Tel Construction, 4- Seagate Development Group, 5 Brooks & Freund, and authorize"
224,69,2,Approved,RFP 2024-03,,"Approved the ranking of construction management firms for RFP 2024-03 as recommended by the Village's selection committee. 1 - Wright Construction, 2 - AIM Construction, 3 - Chris Tel Construction, 4 - American Infrastructure Services, and authorize"
225,69,3,Passed,,,"Passed first reading and schedule second reading for June 19, 2024."
226,69,4,Passed Ordinance,2024-06,,Passed Second Reading of Ordinance No. 2024-06.
227,70,0,Approved,,,Approved
228,70,1,Approved,,,Approved Supplemental
229,70,2,Passed Ordinance,,,Passed First Reading of Ordinance 2023 -04 and set
230,70,3,Other,2023-11,,M oved Capital Improvement Hearing and Resolution 2023-11 on to second
231,71,0,Approved Contract,,397379.0,"Approved the contract with N. Harris Computer Corporation to provide ""CityView"" software for Community Development for an estimated cost of $397,379, approve a contingency fund amount of $49,153 (an amount equal to 15% of the total project cost minus annual fees) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract including revisions resulting from fi nal negotiations and related documents including annual renewal (maintenance) fee on behalf of the"
232,71,1,Approved Resolution,2022-11,,Approved Resolution No. 2022-11.
233,71,2,Approved Resolution,2022-17,,Approved Resolution No. 2022-17.
234,71,3,Passed Ordinance,2022-04,,"Passed first reading of Ordinance No. 2022-04 and set second reading for July 6, 2022."
235,71,4,Other,2022-02,,P assed Ordinance No. 2022-02.
236,72,0,Other,,,No action found
237,73,0,Approved Contract,EC 2022-29,311650.0,"Approved STA 02 to Contract EC 2022-29 with Weston & Sampson to design and permit the extension of utilities to Cypress Park Circle for $311,650, approve a $31,000 contingency (10%) for additional services that may be required to complete the project, and authorize the Village"
238,73,1,Approved Contract,RFB 2023-04,106890.0,"Approved award of Request for Bi ds No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of t he total project cost) to cover unforeseen circumstances which may occur , and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero"
239,73,2,Approved Contract,EC 2021-04,,Approved award Contract EC 2021-04 Amendment 5 to replace p lant materials along Estero Parkway and authorize the Village Manager to sign the contract amendment and other additional implementing documents within the scope of the contract amendment on behalf of the Village of E stero
240,73,3,Approved Contract,EC 2023-21,11886.89,"Approved award Amendment 1 to Contract EC 2023-21 to mulch all debris and downed trees located at 8801 Corkscrew Road for $11,886.89 and authorize the Village Manager to sign the contract amendment and other additional implementing docume nts within the scope of the contr act amendment on behalf of the Village of Estero"
241,73,4,Approved Agreement,,,"Approved the software as a service agreement (SaaS) for Munis ERP software between the Village of Estero and Tyler Technologies, Inc. and authorized the Vi llage Manager to execute the contract documents on behalf of the Village of Estero"
242,73,5,Approved Contract,EC 2022-33,4.0,"Approved STA 01 to Contract EC 2022-33 with RWA Engineering to design and permit the Estero Entertainment District for $4 85,045, subject to the consultant's acceptance of a revised Exhibit ""C"" (Project Schedule) to meet the time constrain ts of the Village, to au thorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero"
243,74,0,Other,,,No action found
244,75,0,Other,,,No action found
245,76,0,Other,,,No action found
246,77,0,Adopted Resolution,2025-10,,Adopted Resolution No. 2025-10.
247,77,1,Adopted Resolution,2025-11,,Adopted Resolution No. 2025-11.
248,77,2,Passed Ordinance,2025-07,,Passed first reading of Ordinance No. 2025-07 and set second reading and
249,78,0,Adopted Resolution,2024-12,,Adopted Resolution No. 2024-12. Vote : (Roll Call) Aye:
250,78,1,Adopted Resolution,2024-13,,Adopted Resolution No. 2024-13.
251,78,2,Adopted Resolution,2024-15,,Adopted Resolution No. 2024-15.
252,78,3,Approved Contract,,,"Approved award of Invitation to Bid 100124, Disaster Debris Monitoring Services for the Village of Estero to the apparent low bidder, Disaster Program Operations, Inc. to provide on- call disaster debris monitoring services as provided in the contract for a one -year period, at the rates submitted on their bid, authorize the Village Manager to execute contract documents on behalf of the Village of Estero"
253,78,4,Approved Contract,,,"Approved award of Invitation to Bid 100224, Disaster Recovery Services for the Village of Estero to CrowderGulf Joint Venture, Inc. to provide on-call disaster recovery services as provided in the solicitation. Authorize the Village Manager to execute a contract document on behalf of the Village of Estero"
254,78,5,Approved Grant,,188921.0,"Approved EC Task Order in the amount of $188,921 for Hagerty Consulting, Inc. to assist the Village of Estero in CDBG -DR Recovery and Resiliency Planning Program Grant Management Support."
255,136,0,Other,,,Meeting Cancelled
256,137,0,Other,,,No action found
257,138,0,Other,,,No action found
258,139,0,Other,,,No action found
259,79,0,Adopted,2023-12,,Adopted Resoluti on No. 2023-12.
260,79,1,Approved Task Authorization,EC 2022-38,146340.0,"Approved award of Suppleme ntal Task Authorization 06 to Contract EC 2022-38 to Johnson Engineering to provide water monitoring services for The Village of Estero for $146,340, approve a $14,600 contingency for additional services that may be required to complete the project and authorize the Village Manager to sign the STA and other additional impleme nting documents within the scope of the STA on behalf of the Village of Estero"
261,79,2,Other,RFB 2023-07,239500.0,"App roved of RFB 2023-07, Sandy Lane Path Prefabricated Bridge to Contech Engine ered Solutions, LLC to provide the bridge as provided in the contract, at a grand total cost of $239,500, approve a contingency fund amount of $23,950 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero"
262,79,3,Approved Contract,2022-32,256060.0,"Approved the STA 1 to Contract 2022-32 with Tetra Tech, Inc. for the preparation of an engineering assessment of the existing roads and sidewalks maintained by the Village of Estero for $256,060, approve a $25,600 contingency (10%) for additional services that may be required to complete the project, and authorize the Village Manager to sign the STA and other additional implementing documents wi thin the scope of the STA on behalf of the Village of Estero"
263,79,4,Other,,55233.34,"Approv ed the Seminole Gulf Railway license agreement and approve payment of $55,233.34 to Seminole Gulf Railway to secure the license agreement and authorize the Village Manager to execute the agreement on behalf of the Vi llage"
264,79,5,Adopted Resolution,2023-14,,Adopted Resolution No. 2023-14.
265,80,0,Approved,,,Approved Comprehensive Annual Financial Report
266,80,1,Adopted Resolution,2022-20,,Adopted Resolution No. 2022-20.
267,80,2,Adopted Resolution,2022-18,,Adopted Resolution No. 2022-18.
268,80,3,Passed Ordinance,2022-05,,"Passed first reading of Ordinance No. 2022-05 with the map 2A-1 and set second reading for July 20, 2022."
269,80,4,Approved Ordinance,2022-06,,Approved m otion to transmit Comprehensive Plan Amendment and Ordinance No. 2022-06 to state review agency.
270,80,5,Passed Ordinance,2022-07,,Passed Ordinance No. 2022-07 on the first reading.
271,81,0,Other,,,M otion to permit
272,81,1,Approved,,,Approved Comprehensive Annual Financial Report.
273,81,2,Other,,,"A uthori zed the Village Manager to execute the attached three letters of engagement, or similarly priced alternatives, and other invoices related to these services."
274,81,3,Approved Payment,,5000.0,"Approved the lien mitigation request f rom Ms. Hernandez releasing any outstanding liens against the Property in exchange for payment of a reduced fine of $5,000.00 and $327.20 for administrative cost."
275,81,4,Other,,,"P assed first reading of Ordinance 2021 -09 and set second readi ng for July 21, 2021."
276,82,0,Other,,,No action found
277,83,0,Other,,,No action found
278,84,0,Adopted Resolution,2022-21,,Adopted Resolution No. 2022-21.
279,84,1,Adopted Resolution,2022-19,,Adopted Resolution No. 2022-19.
280,84,2,Other,2022-05,,"P assed second reading of Ordinance No. 2022-05 with Map 2A-1 and ordinance shall take effect immediately upon adoption, for implementation for the next regular"
281,85,0,Other,,,No action found
282,86,0,Other,2020-2021,,Review proposed Budget for Fiscal Year 2020-2021 Financial Impact: The proposed budget will provide funding for the Fiscal Year 2020-2021
283,86,1,Adopted Resolution,2020-13,,Adopted Resolution No. 2020-13
284,86,2,Other,2020-12,,"Approve Resolution 2020-12 Naming the Lee County Supervisor of Elections as the Village ofEstero's Qualifying Official and authority for the Village Manager to enter into the attached agreement with the Lee County Supervisor of Elections, which is an expansion of the existing interlocal agreement between the parties."
285,86,3,Other,,,Approve the WCI/Lennar Transportation Impact Fee Credit Agreement between WCVLennar and the Village of Estero for the Pelican Colony Traffic Signal. Authorize the Mayor to execute this agreement on behalf of the Village ofEstero
286,86,4,Approved Agreement,,,Approved the WCI/Lennar Transportation Impact Fee Credit Agreement between WCI/Lennar and the Village ofEstero for the Pelican Colony Traffic Signal. Authorize the Mayor to execute this agreement on behalf of the Village ofEstero
287,86,5,Approved Agreement,,,Approved the Interlocal Agreement between Lee County and the Village of Estero for Corkscrew Road/Puente Lane Traffic Signal. Authorize the Mayor to execute this agreement on behalf of the Village ofEstero
288,87,0,Adopted Agreement,,,"Adopted Agreement to Transfer Ownership, Operation and Maintenance of the T&T Water Management System and Dedication and Conveyance of Related Roads and the Supplement to Agre ement to Transfer Ownership, Operation, and Maintenance of a Portion of the T&T Water Management System and for Dedication and Conveyance of Roads."
289,87,1,Approved Easement,,,Approved a Sovereignty Submerged Lands easement with the Florida Department of Environmental Protection for the Sunny Groves force main and authorize the Village Mayor to sign the easement and any other associated documents on behalf of the
290,88,0,Other,,,No action found
291,89,0,Endorsed,,,"Endorsed the revised Caloosahatchee Watershed Regional Water Management Issues White Paper, dated July 15, 2016, and authorized the Mayor to sign a letter indicating"
292,89,1,Adopted Resolution,2016-23,,Adopted Resolution No. 2016-23.
293,89,2,Approved Grant,,,Approved the request for the Mayor to sign a letter of support for the Edward Byrne Memorial Justice Assistance Grant (JAG)
294,89,3,Approved Agreement,,,"Approved the agreement between the Village ofEstero and LaRue Planning & Management Services, Inc."
295,89,4,Continued,,,Continued to next
296,89,5,Approved Agreement,,,"Approved the agreement as amended, between the Village of Estero and Nancy Stroud of Lewis Stroud & Deutsch, PL, for continuing legal services related to land use matters, including legal assistance with the Comprehensive Plan"
297,90,0,Approved Resolution,2023-20,,"Approved Resolution 2023-20 waiving the provision of SECTION 5, NUMBER 2 ."
298,91,0,Other,,,No action found
